Name,Median price,Quarterly growth,12-month growth,Average Annual Growth,Weekly median advertised rent,Number of sales,Gross rental yield,Days on market
LENNOX HEAD,"$949,500",0.74%,7.90%,4.26%,$600,74,3.29%,105.863636363636
LEONAY,"$842,500",3.69%,7.70%,5.26%,$498,42,3.07%,51.9354838709678
LEPPINGTON,"$710,000",-0.21%,-7.15%,-0.44%,$540,165,3.95%,90.25
LERIDA,,,,,,,,
LERIDA,,,,,,,,
LETHBRIDGE PARK,"$500,000",2.04%,10.50%,8.91%,$300,52,3.12%,49.1944444444444
LEUMEAH,"$595,000",0.59%,1.28%,6.60%,$380,103,3.32%,41.5810810810811
LEURA,"$795,000",-0.62%,-3.93%,6.38%,$450,109,2.94%,77.5675675675676
LEWIS PONDS,,,,,,,,
LEWISHAM,"$1,402,000",-0.60%,5.02%,7.95%,$700,35,2.60%,67.5
LIBERTY GROVE,"$1,167,500",0.00%,N/A,13.08%,$860,10,3.83%,N/A
LIDCOMBE,"$1,055,000",-3.03%,-7.13%,6.69%,$510,85,2.51%,59.046511627907
LIDCOMBE NORTH,,,,,,,,
LIDSDALE,"$320,000",4.68%,4.68%,4.68%,N/A,10,N/A,N/A
LIDSTER,"$750,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LIGHTHOUSE BEACH,,,,,,,,
LIGHTNING RIDGE,"$55,000",-21.43%,-21.43%,-1.02%,N/A,31,N/A,N/A
LILLI PILLI,"$620,000",8.77%,12.22%,4.90%,$580,19,4.86%,69.0769230769231
LILLI PILLI,"$2,250,000",-7.22%,34.33%,7.16%,$870,13,2.01%,N/A
LILLIAN ROCK,,,,,,,,
LILYFIELD,"$1,800,000",7.78%,7.78%,7.12%,$793,80,2.29%,73.5384615384615
LIMEBURNERS CREEK,"$330,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LIMEBURNERS CREEK,,,,,,,,
LIMEKILNS,,,,,,,,
LIMERICK,,,,,,,,
LIMPINWOOD,,,,,,,,
LINDEN,"$650,000",N/A,N/A,22.10%,N/A,10,N/A,N/A
LINDENDALE,,,,,,,,
LINDFIELD,"$2,880,000",2.86%,23.74%,8.13%,$935,95,1.69%,101.51724137931
LINDFIELD WEST,,,,,,,,
LINLEY POINT,"$2,702,500",N/A,N/A,N/A,N/A,10,N/A,N/A
LISAROW,"$722,500",0.35%,-4.30%,5.09%,$520,66,3.74%,61.2325581395349
LISMORE,"$339,500",-0.88%,-3.69%,2.12%,$380,60,5.82%,56.3333333333333
LISMORE HEIGHTS,"$399,000",1.01%,3.64%,2.23%,$395,49,5.15%,56.65625
LISTON,,,,,,,,
LITHGOW,"$318,500",-1.32%,-2.90%,5.05%,$300,100,4.90%,82.3125
LITTLE BAY,"$1,795,000",0.00%,-2.45%,6.91%,"$1,125",22,3.26%,N/A
LITTLE FOREST,"$737,500",N/A,N/A,N/A,N/A,10,N/A,N/A
LITTLE HARTLEY,"$707,500",N/A,N/A,17.78%,N/A,10,N/A,N/A
LITTLE PLAIN,,,,,,,,
LITTLE RIVER,,,,,,,,
LIVERPOOL,"$760,000",-1.30%,4.25%,7.87%,$430,94,2.94%,69.6666666666667
LIVERPOOL SOUTH,,,,,,,,
LIVERPOOL WESTFIELD,,,,,,,,
LLANARTH,"$540,000",0.00%,-0.92%,3.05%,$425,42,4.09%,107.538461538462
LLANDILO,"$1,525,000",-14.08%,N/A,32.22%,$550,10,1.88%,N/A
LLANGOTHLIN,,,,,,,,
LLOYD,"$447,500",1.70%,3.83%,4.08%,$430,48,5.00%,122.633333333333
LOCHIEL,"$550,000",N/A,N/A,N/A,N/A,11,N/A,N/A
LOCHINVAR,"$298,750",0.00%,3.02%,5.70%,N/A,18,N/A,N/A
LOCKHART,"$190,000",-4.76%,-5.00%,10.63%,$110,19,3.01%,212.071428571429
LOCKSLEY,,,,,,,,
LOFTUS,"$1,021,500",2.15%,5.09%,6.65%,$630,34,3.21%,31.3571428571429
LOGANS CROSSING,,,,,,,,
LOGIE BRAE,,,,,,,,
LONDONDERRY,"$1,271,000",-1.51%,1.07%,9.01%,$550,19,2.25%,84
LONG BEACH,"$600,000",3.45%,3.45%,3.33%,$450,55,3.90%,113.775
LONG FLAT,,,,,,,,
LONG JETTY,"$680,000",3.03%,0.74%,7.36%,$400,91,3.06%,78.3636363636364
LONG PLAIN,,,,,,,,
LONG PLAIN,,,,,,,,
LONG POINT,,,,,,,,
LONG POINT,,,,,,,,
LONGUEVILLE,"$4,350,000",0.00%,20.57%,8.57%,N/A,18,N/A,N/A
LOOMBERAH,"$755,000",0.00%,N/A,N/A,N/A,10,N/A,N/A
LORD HOWE ISLAND,,,,,,,,
LORN,"$692,500",4.14%,6.54%,4.45%,$420,36,3.15%,84.8947368421053
LORNE,"$728,000",N/A,22.78%,22.78%,N/A,10,N/A,N/A
LOSTOCK,,,,,,,,
LOUTH,,,,,,,,
LOUTH PARK,"$360,000",-12.73%,N/A,N/A,N/A,10,N/A,N/A
LOVEDALE,"$1,225,000",N/A,33.51%,14.17%,N/A,10,N/A,N/A
LOVETT BAY,"$2,725,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LOWANNA,"$216,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LOWER BELFORD,"$810,000",N/A,N/A,N/A,N/A,10,N/A,N/A
LOWER CREEK,,,,,,,,
LOWER MACDONALD,"$485,000",0.00%,N/A,6.33%,N/A,11,N/A,N/A
LOWER MANGROVE,,,,,,,,
LOWER PORTLAND,"$840,000",-4.90%,-20.00%,2.70%,N/A,11,N/A,N/A
LOWER SOUTHGATE,,,,,,,,
LOWESDALE,,,,,,,,
LOWTHER,,,,,,,,
LOXFORD,,,,,,,,
LUCAS HEIGHTS,,,,,,,,
LUCKNOW,,,,,,,,
LUDDENHAM,"$2,050,000",0.00%,45.39%,18.88%,$650,12,1.65%,N/A
LUE,,,,,,,,
LUGARNO,"$1,210,000",4.99%,-1.83%,4.88%,$580,69,2.49%,75.8857142857143
LURNEA,"$655,000",3.97%,-0.76%,7.28%,$420,69,3.33%,73.9761904761905
LUSKINTYRE,,,,,,,,
LYNCHS CREEK,,,,,,,,
LYNDHURST,,,,,,,,
LYNDHURST,"$240,000",0.00%,-21.31%,14.75%,N/A,11,N/A,108.666664
LYNWOOD,,,,,,,,
MABINS WELL,,,,,,,,
MACARTHUR SQUARE,,,,,,,,
MACKSVILLE,"$365,000",0.00%,-1.35%,3.88%,$370,53,5.27%,104.457142857143
MACLEAN,"$385,000",1.72%,-3.75%,2.92%,$378,63,5.10%,124.5
MACMASTERS BEACH,"$1,190,000",0.00%,-0.29%,8.04%,$600,36,2.62%,101.285714285714
MACQUARIE CENTRE,,,,,,,,
MACQUARIE FIELDS,"$580,000",0.87%,-4.68%,7.88%,$383,71,3.43%,62.8979591836735
MACQUARIE HILLS,"$585,500",-0.76%,1.39%,5.17%,$498,71,4.42%,46.1224489795918
MACQUARIE LINKS,"$1,035,000",-0.96%,N/A,8.22%,$530,12,2.66%,61.7
MACQUARIE PARK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAGENTA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MAIANBAR,"$1,150,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MAIN ARM,"$717,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MAIN CREEK,,,,,,,,
MAITLAND,"$460,000",5.99%,15.00%,5.81%,$345,39,3.90%,78.9565217391304
MAITLAND NORTH,,,,,,,,
MAITLAND VALE,,,,,,,,
MAJORS CREEK,"$374,000",-6.50%,11.64%,11.64%,N/A,10,N/A,N/A
MALABAR,"$2,002,000",-2.34%,-6.23%,4.89%,"$1,000",28,2.60%,N/A
MALLABULA,"$510,000",-1.21%,13.33%,6.24%,$390,15,3.98%,126.071428571429
MALLANGANEE,,,,,,,,
MALONEYS BEACH,"$542,000",7.54%,8.40%,10.39%,$400,10,3.84%,N/A
MALUA BAY,"$635,000",9.48%,21.07%,5.30%,"$1,025",79,8.39%,87.5681818181818
MANAHAN,,,,,,,,
MANDAGERY,,,,,,,,
MANDALONG,"$1,025,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MANDURAMA,"$170,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MANGERTON,"$850,000",-1.16%,7.09%,6.53%,$550,26,3.36%,55
MANGOPLAH,"$270,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MANGROVE MOUNTAIN,"$1,200,000",0.00%,N/A,20.71%,N/A,13,N/A,N/A
MANILDRA,"$215,000",7.50%,-11.79%,2.45%,N/A,11,N/A,N/A
MANILLA,"$230,000",-8.91%,-5.15%,6.05%,N/A,37,N/A,156.421052631579
MANLY,"$2,875,000",0.00%,-4.20%,7.55%,"$1,475",69,2.67%,51.5454545454546
MANLY EAST,,,,,,,,
MANLY VALE,"$1,900,000",3.12%,10.47%,7.92%,$950,24,2.60%,N/A
MANNERING PARK,"$500,000",1.01%,3.73%,6.05%,$390,48,4.06%,62.1428571428572
MANNING POINT,"$392,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MANNUS,,,,,,,,
MANYANA,"$537,500",2.38%,4.27%,6.16%,N/A,31,N/A,114
MARAYLYA,"$565,000",N/A,N/A,N/A,$550,18,5.06%,N/A
MARAYONG,"$660,000",4.35%,5.26%,7.14%,$390,86,3.07%,53.2340425531915
MARCH,,,,,,,,
MARDI,"$672,500",-0.37%,-1.82%,7.06%,$460,60,3.56%,97.8536585365854
MARKS POINT,"$539,000",-11.64%,18.46%,5.01%,$410,17,3.96%,77.6
MARKWELL,,,,,,,,
MARLEE,"$477,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MARMONG POINT,"$602,500",5.70%,8.56%,5.91%,N/A,12,N/A,112.363636363636
MAROOTA,"$1,337,500",0.00%,N/A,N/A,N/A,11,N/A,N/A
MAROUBRA,"$1,870,000",0.34%,2.54%,5.75%,$883,147,2.45%,81.3636363636364
MAROUBRA SOUTH,,,,,,,,
MARRANGAROO,"$707,500",3.32%,6.87%,8.37%,N/A,14,N/A,N/A
MARRAR,"$112,000",-19.20%,N/A,N/A,N/A,12,N/A,N/A
MARRICKVILLE,"$1,450,000",2.91%,11.54%,8.02%,$750,209,2.69%,63.6956521739131
MARRICKVILLE METRO,,,,,,,,
MARRICKVILLE SOUTH,,,,,,,,
MARSDEN PARK,"$709,000",2.90%,-2.88%,13.77%,$550,442,4.03%,93.7553956834532
MARSFIELD,"$1,730,000",6.79%,27.96%,8.62%,$695,44,2.09%,N/A
MARSHALL MOUNT,,,,,,,,
MARSHDALE,,,,,,,,
MARTINS CREEK,"$442,500",0.00%,-17.61%,-17.61%,N/A,13,N/A,N/A
MARTINSVILLE,"$975,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MARULAN,"$466,900",6.11%,1.17%,5.30%,$440,24,4.90%,99.5
MARYLAND,"$493,750",0.25%,-5.50%,3.58%,$440,118,4.63%,42.3595505617978
MARYLAND,,,,,,,,
MARYVALE,,,,,,,,
MARYVILLE,"$740,000",1.72%,-3.27%,8.18%,$488,27,3.43%,54.3333333333333
MASCOT,"$1,355,000",0.74%,4.23%,7.53%,$680,73,2.61%,65.3076923076923
MATCHAM,"$1,800,000",0.00%,N/A,12.55%,N/A,18,N/A,88.9090909090909
MATHESON,,,,,,,,
MATHOURA,"$206,000",-2.83%,14.44%,9.14%,N/A,21,N/A,89.6
MATONG,,,,,,,,
MATRAVILLE,"$1,720,000",5.65%,10.61%,7.61%,"$1,025",69,3.10%,79.2307692307692
MAUDE,,,,,,,,
MAULES CREEK,,,,,,,,
MAYFIELD,"$555,000",0.36%,-2.97%,6.14%,$430,172,4.03%,53.6960784313726
MAYFIELD,,,,,,,,
MAYFIELD,,,,,,,,
MAYFIELD,,,,,,,,
MAYFIELD EAST,"$582,000",2.11%,-4.20%,7.46%,$420,26,3.75%,57.6666666666667
MAYFIELD NORTH,,,,,,,,
MAYFIELD WEST,"$532,500",1.38%,-8.19%,6.09%,$430,34,4.20%,80.4090909090909
MAYRUNG,,,,,,,,
MAYS HILL,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MCDOUGALLS HILL,,,,,,,,
MCGRATHS HILL,"$760,000",1.33%,1.33%,6.46%,$470,44,3.22%,74.34375
MCKEES HILL,,,,,,,,
MCLEANS RIDGES,"$940,000",3.58%,N/A,N/A,N/A,18,N/A,N/A
MCMAHONS POINT,"$4,025,000",-1.23%,27.58%,10.15%,"$1,000",17,1.29%,N/A
MEADOW FLAT,"$532,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MEADOWBANK,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MEDLOW BATH,"$580,000",-1.69%,14.57%,6.66%,$395,10,3.54%,N/A
MEDOWIE,"$520,000",0.97%,1.71%,3.93%,$470,171,4.70%,74.198275862069
MEDWAY,,,,,,,,
MEDWAY,,,,,,,,
MEERSCHAUM VALE,"$607,500",N/A,N/A,N/A,N/A,11,N/A,N/A
MEGALONG,,,,,,,,
MEGAN,"$497,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MELINGA,,,,,,,,
MELROSE PARK,"$1,444,000",-0.41%,4.64%,7.15%,$755,14,2.72%,N/A
MELVILLE,,,,,,,,
MENAI,"$1,047,500",2.20%,7.44%,5.11%,$700,108,3.47%,50.36
MENAI CENTRAL,,,,,,,,
MENANGLE,"$1,500,000",15.38%,N/A,-8.57%,N/A,11,N/A,N/A
MENANGLE PARK,"$2,740,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MENDOORAN,"$105,000",7.69%,-26.32%,-0.91%,N/A,10,N/A,N/A
MENINDEE,"$77,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MERAH NORTH,,,,,,,,
MEREWETHER,"$1,245,000",0.40%,-4.05%,7.26%,$563,142,2.35%,78.0941176470588
MEREWETHER HEIGHTS,"$880,000",-4.35%,-16.19%,5.12%,$778,28,4.59%,82.6
MERIMBULA,"$592,000",0.00%,3.50%,4.62%,$450,53,3.95%,123.527777777778
MERINGO,,,,,,,,
MEROO MEADOW,"$690,000",0.00%,-6.47%,-0.92%,N/A,10,N/A,N/A
MERRIWA,"$228,000",4.83%,4.59%,3.19%,$250,33,5.70%,88.6363636363637
MERRIWAGGA,,,,,,,,
MERRYGOEN,,,,,,,,
MERRYLANDS,"$845,000",2.36%,3.36%,6.86%,$480,204,2.95%,64.825
MERRYLANDS WEST,"$775,000",2.26%,1.97%,6.99%,$500,51,3.35%,52.7692307692308
MERUNGLE HILL,"$322,500",N/A,N/A,N/A,N/A,10,N/A,N/A
METFORD,"$437,500",2.94%,0.57%,3.52%,$390,76,4.64%,46.1475409836066
METFORD DC,,,,,,,,
MIANDETTA,,,,,,,,
MICHELAGO,"$665,000",5.56%,2.31%,-4.78%,N/A,10,N/A,N/A
MIDDLE ARM,"$627,500",12.05%,N/A,N/A,N/A,10,N/A,N/A
MIDDLE BROOK,,,,,,,,
MIDDLE COVE,"$2,254,000",24.60%,33.41%,7.04%,"$1,100",16,2.54%,N/A
MIDDLE DURAL,"$2,050,000",-2.38%,N/A,15.97%,N/A,15,N/A,N/A
MIDDLETON GRANGE,"$780,000",1.30%,0.00%,7.49%,$520,76,3.47%,79.2758620689655
MILA,,,,,,,,
MILBRODALE,,,,,,,,
MILBRULONG,,,,,,,,
MILLBANK,,,,,,,,
MILLER,"$596,000",5.02%,4.56%,8.62%,$400,22,3.49%,87.1
MILLERS FOREST,,,,,,,,
MILLERS POINT,"$130,000",N/A,N/A,N/A,"$1,000",10,N/A,N/A
MILLFIELD,"$440,000",8.04%,17.33%,10.05%,N/A,27,N/A,42.8421052631579
MILLINGANDI,"$555,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MILLTHORPE,"$530,000",7.08%,-3.64%,8.02%,N/A,25,N/A,138.111111111111
MILPERRA,"$870,000",2.05%,2.35%,5.91%,$550,55,3.29%,36.6551724137931
MILROY,,,,,,,,
MILSONS PASSAGE,,,,,,,,
MILSONS POINT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MILTON,"$695,000",5.70%,-7.33%,5.52%,$380,27,2.84%,101.764705882353
MILVALE,,,,,,,,
MIMOSA,,,,,,,,
MINCHINBURY,"$751,000",2.88%,11.18%,6.47%,$458,50,3.17%,68.375
MINIMBAH,"$638,750",0.00%,N/A,N/A,N/A,10,N/A,N/A
MINMI,"$590,000",-5.22%,4.42%,2.84%,N/A,12,N/A,N/A
MINNAMURRA,"$1,200,000",23.08%,39.53%,10.04%,$640,12,2.77%,N/A
MINNIE WATER,"$543,000",-27.11%,-15.42%,6.49%,N/A,10,N/A,N/A
MINORE,,,,,,,,
MINTO,"$624,000",3.14%,4.87%,8.14%,$405,88,3.38%,36.0833333333333
MINTO HEIGHTS,,,,,,,,
MIRANDA,"$1,230,250",1.55%,8.87%,7.07%,$650,141,2.75%,58.9375
MIRRABOOKA,"$520,000",-25.71%,-4.59%,1.72%,$358,20,3.58%,N/A
MIRROOL,,,,,,,,
MISSABOTTI,"$436,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MISSENDEN ROAD,,,,,,,,
MITCHELLS FLAT,,,,,,,,
MITCHELLS ISLAND,"$530,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MITTAGONG,"$732,500",-1.35%,2.45%,6.69%,$470,103,3.34%,96.3484848484848
MOAMA,"$450,000",2.84%,4.23%,4.28%,$435,122,5.03%,79.3125
MODANVILLE,"$565,000",N/A,N/A,N/A,$395,10,3.64%,132.8
MOGAREEKA,,,,,,,,
MOGENDOURA,,,,,,,,
MOGO,"$603,125",N/A,N/A,N/A,N/A,10,N/A,N/A
MOGO,,,,,,,,
MOGRIGUY,,,,,,,,
MOLE RIVER,,,,,,,,
MOLLYMOOK,"$660,000",-4.86%,4.76%,5.82%,$520,17,4.10%,158.909090909091
MOLLYMOOK BEACH,"$750,000",1.01%,6.12%,7.36%,$650,63,4.51%,92.9767441860465
MOLONG,"$385,000",13.24%,32.76%,5.07%,$305,40,4.12%,108.454545454545
MONA VALE,"$1,823,750",4.21%,13.98%,7.68%,$950,92,2.71%,63.8518518518519
MONAK,,,,,,,,
MONALTRIE,,,,,,,,
MONASH PARK,,,,,,,,
MONDROOK,,,,,,,,
MONGA,,,,,,,,
MONGARLOWE,,,,,,,,
MONGOGARIE,,,,,,,,
MONKERAI,,,,,,,,
MONTEAGLE,"$239,000",N/A,N/A,N/A,N/A,11,N/A,N/A
MONTEFIORES,"$281,500",-6.17%,-8.46%,11.22%,N/A,16,N/A,135.416666666667
MONTEREY,"$1,470,000",2.26%,5.00%,6.45%,$650,16,2.30%,N/A
MOOBALL,"$500,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MOOMBOOLDOOL,,,,,,,,
MOONAN BROOK,,,,,,,,
MOONAN FLAT,,,,,,,,
MOONBAH,"$675,000",N/A,N/A,N/A,$525,12,4.08%,N/A
MOONBI,"$319,500",-4.63%,-23.01%,-1.71%,N/A,24,N/A,87.9473684210526
MOONEE BEACH,"$749,999",1.69%,-1.57%,2.91%,$480,31,3.33%,111.409090909091
MOONEY MOONEY,,,,,,,,
MOORAL CREEK,,,,,,,,
MOORBEL,"$330,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MOORE CREEK,"$581,500",-0.85%,-2.27%,4.54%,$493,52,4.40%,118.222222222222
MOORE PARK,,,,,,,,
MOOREBANK,"$900,000",0.00%,5.77%,7.90%,$580,125,3.35%,52.4642857142857
MOORLAND,"$358,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MORANS CROSSING,,,,,,,,
MOREE,"$190,000",5.56%,1.77%,-0.76%,$290,109,7.94%,141.666666666667
MOREE EAST,,,,,,,,
MORISSET,"$520,000",0.97%,-8.28%,4.01%,$395,43,3.95%,103.962962962963
MORISSET PARK,"$642,500",2.39%,-1.15%,3.25%,$465,24,3.76%,84.3333333333333
MORNING BAY,,,,,,,,
MORPETH,"$617,000",5.25%,20.51%,5.14%,$410,24,3.46%,57.25
MORTDALE,"$1,157,500",3.35%,6.19%,6.61%,$600,73,2.70%,65.9666666666667
MORTLAKE,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
MORTONS CREEK,,,,,,,,
MORUNDAH,,,,,,,,
MORUYA,"$435,000",4.95%,-11.04%,3.28%,$380,64,4.54%,124.244444444444
MORUYA HEADS,"$450,000",0.00%,-2.17%,2.76%,$390,11,4.51%,N/A
MORVEN,,,,,,,,
MORVEN,,,,,,,,
MOSMAN,"$3,700,000",4.95%,-4.52%,5.58%,"$1,563",230,2.20%,80.0869565217391
MOSS VALE,"$650,000",-1.14%,-7.93%,7.58%,$460,158,3.68%,105.5234375
MOSSGIEL,,,,,,,,
MOSSY POINT,"$657,500",-8.68%,9.58%,5.10%,$500,14,3.95%,N/A
MOTO,,,,,,,,
MOULAMEIN,"$127,000",N/A,37.30%,12.91%,N/A,10,N/A,N/A
MOUNT ANNAN,"$746,000",2.12%,3.25%,5.61%,$460,135,3.21%,38.26
MOUNT ARTHUR,,,,,,,,
MOUNT AUSTIN,"$251,200",-0.51%,6.89%,2.21%,$290,66,6.00%,95.75
MOUNT BURRELL,,,,,,,,
MOUNT COLAH,"$1,100,000",6.95%,9.45%,6.74%,$595,83,2.81%,47.7179487179487
MOUNT DAVID,,,,,,,,
MOUNT DRUITT,"$660,000",0.76%,2.72%,7.81%,$380,79,2.99%,59.4807692307692
MOUNT DRUITT VILLAGE,,,,,,,,
MOUNT ELLIOT,"$1,225,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MOUNT GEORGE,"$324,000",-17.35%,N/A,N/A,N/A,10,N/A,N/A
MOUNT HOPE,,,,,,,,
MOUNT HOREB,,,,,,,,
MOUNT HUNTER,"$735,000",-14.04%,N/A,3.52%,N/A,13,N/A,80.5
MOUNT HUTTON,"$516,250",-1.67%,-3.69%,3.66%,$420,55,4.23%,31.68
MOUNT IRVINE,,,,,,,,
MOUNT KEIRA,"$1,000,000",28.21%,29.03%,8.94%,$530,13,2.76%,N/A
MOUNT KEMBLA,"$832,500",N/A,-2.63%,7.32%,N/A,10,N/A,N/A
MOUNT KURING GAI,"$930,000",3.05%,3.33%,5.49%,$640,28,3.58%,60.0588235294118
MOUNT LEWIS,"$1,115,000",5.94%,N/A,10.98%,$460,17,2.15%,N/A
MOUNT MITCHELL,,,,,,,,
MOUNT OLIVE,,,,,,,,
MOUNT OLIVE,,,,,,,,
MOUNT OUSLEY,"$803,250",0.00%,-9.49%,6.27%,$590,20,3.82%,27.0909090909091
MOUNT PLEASANT,"$875,000",-3.74%,-7.89%,5.68%,N/A,25,N/A,59.6428571428572
MOUNT PRITCHARD,"$650,000",1.56%,0.00%,6.50%,$400,89,3.20%,76.2608695652174
MOUNT RANKIN,,,,,,,,
MOUNT RIVERVIEW,"$710,000",4.41%,5.19%,6.21%,$440,47,3.22%,60.5588235294118
MOUNT RUSSELL,,,,,,,,
MOUNT SAINT THOMAS,"$645,500",7.14%,12.26%,7.02%,N/A,20,N/A,95.7
MOUNT THORLEY,,,,,,,,
MOUNT TOMAH,,,,,,,,
MOUNT VERNON,"$2,575,000",-7.37%,N/A,N/A,N/A,11,N/A,N/A
MOUNT VICTORIA,"$499,250",4.55%,-4.90%,7.06%,$450,24,4.69%,38.0833333333333
MOUNT VIEW,,,,,,,,
MOUNT VINCENT,,,,,,,,
MOUNT VINCENT,,,,,,,,
MOUNT WARRIGAL,"$587,500",0.77%,-1.67%,6.04%,$468,66,4.14%,61.8301886792453
MOUNT WHITE,,,,,,,,
MOUNT WILSON,"$1,011,463",N/A,N/A,N/A,N/A,10,N/A,N/A
MOUNTAIN CREEK,,,,,,,,
MOUNTAIN CREEK,,,,,,,,
MOUNTAIN LAGOON,,,,,,,,
MOUNTAIN VIEW,,,,,,,,
MUDGEE,"$445,000",1.14%,7.23%,3.77%,$390,291,4.56%,77.5810055865922
MULBRING,"$510,000",-3.77%,N/A,-13.46%,N/A,14,N/A,N/A
MULGOA,"$1,175,000",-12.96%,-4.86%,14.48%,$548,18,2.42%,N/A
MULGRAVE,,,,,,,,
MULLALEY,,,,,,,,
MULLAWAY,"$607,000",0.00%,10.36%,7.97%,N/A,12,N/A,N/A
MULLENGANDRA,,,,,,,,
MULLENGUDGERY,,,,,,,,
MULLION CREEK,"$675,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MULLUMBIMBY,"$740,000",0.75%,-5.73%,4.21%,$610,72,4.29%,99.6111111111111
MULLUMBIMBY CREEK,"$1,072,500",N/A,N/A,11.43%,N/A,10,N/A,N/A
MULWALA,"$400,000",-5.88%,9.59%,3.45%,$330,31,4.29%,125.333333333333
MUMBIL,"$56,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MUMBULLA MOUNTAIN,,,,,,,,
MUMMEL,,,,,,,,
MUMMULGUM,,,,,,,,
MUNDONGO,,,,,,,,
MUNGAY CREEK,,,,,,,,
MUNGINDI,"$87,500",N/A,N/A,N/A,N/A,10,N/A,N/A
MUNNI,,,,,,,,
MURGA,,,,,,,,
MURRAH,,,,,,,,
MURRAMI,,,,,,,,
MURRAYS BEACH,"$743,750",-0.83%,3.30%,3.95%,$580,18,4.06%,87.8333333333333
MURRINGO,"$425,000",N/A,N/A,N/A,N/A,10,N/A,N/A
MURRUMBATEMAN,"$875,000",1.16%,4.48%,3.01%,$550,51,3.27%,117.305555555556
MURRUMBURRAH,"$170,000",N/A,N/A,26.19%,N/A,13,N/A,N/A
MURRURUNDI,"$190,000",-20.00%,-8.43%,2.84%,$270,17,7.39%,N/A
MURWILLUMBAH,"$525,000",5.00%,5.53%,4.02%,$450,135,4.46%,105.851063829787
MURWILLUMBAH SOUTH,,,,,,,,
MUSWELLBROOK,"$290,000",-3.33%,-4.92%,0.61%,$380,243,6.81%,123.958083832335
MUTTAMA,,,,,,,,
MYLESTOM,"$570,000",N/A,3.64%,9.29%,$400,10,3.65%,N/A
MYOCUM,"$1,525,000",-0.07%,N/A,16.35%,$545,10,1.86%,N/A
MYOLA,,,,,,,,
MYRTLE CREEK,,,,,,,,
MYSTERY BAY,"$534,000",18.44%,5.54%,10.82%,N/A,13,N/A,N/A
NABIAC,"$530,000",7.07%,29.27%,6.23%,$395,21,3.88%,182.833333333333
NAMBUCCA HEADS,"$420,000",3.32%,9.80%,4.28%,$350,85,4.33%,94.8709677419355
NANA GLEN,"$500,000",-19.35%,-21.88%,5.56%,$400,11,4.16%,N/A
NANGUS,"$100,000",N/A,N/A,N/A,N/A,11,N/A,N/A
NANIMA,,,,,,,,
NAPOLEON REEF,,,,,,,,
NARADHAN,,,,,,,,
NARARA,"$615,100",0.02%,-0.47%,6.36%,$450,122,3.80%,55.9066666666667
NARELLAN,"$681,500",7.24%,7.32%,7.13%,$430,38,3.28%,54.6071428571429
NARELLAN VALE,"$650,000",-0.76%,-1.81%,5.44%,$450,101,3.60%,35.6190476190476
NAREMBURN,"$2,150,000",0.00%,5.91%,6.59%,"$1,000",43,2.42%,N/A
NAROOMA,"$536,000",7.20%,14.04%,5.52%,N/A,41,N/A,124.214285714286
NARRABEEN,"$2,300,000",0.00%,-3.16%,6.94%,"$1,050",14,2.37%,63.9
NARRABRI,"$332,500",3.91%,5.56%,3.14%,$350,77,5.47%,205.282051282051
NARRABRI WEST,,,,,,,,
NARRABURRA,,,,,,,,
NARRANDERA,"$171,000",-8.56%,-14.29%,1.15%,$240,95,7.30%,128.924528301887
NARRAWALLEE,"$645,000",-7.19%,-9.15%,5.57%,$500,33,4.03%,96.6
NARRAWEENA,"$1,495,000",5.28%,12.15%,7.39%,$750,58,2.61%,35.8
NARROMINE,"$230,667",2.52%,-3.89%,2.53%,$308,55,6.93%,124.171428571429
